Did Promotion Run?,In-Store Date End,In-Store Date Start,PPG,Plan Accounts,Promo type,Promotion Key,Promotion Name,Promotion Status,Promotion mechanism,Retailer,CustHierarchyNum,Manual Start Date,Manual End Date
YES,2023-07-22,2023-07-08,SOC RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002138LIVE,"202326-202328 - 20230628 - 20230712 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - SOC & BEN Risotto RTH AUG TPR - 2138, SOC & BEN Risotto RTH AUG TPR",130 - Finished - Evaluated,2 for $5,KrogerFrys,41135845,2023-07-05,2023-08-15
YES,2023-07-22,2023-07-08,SOC RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002138LIVE,"202326-202328 - 20230628 - 20230712 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - SOC & BEN Risotto RTH AUG TPR - 2138, SOC & BEN Risotto RTH AUG TPR",130 - Finished - Evaluated,2 for $5,KrogerKingSoopers,41135845,2023-07-05,2023-08-15
YES,2023-07-22,2023-07-08,SOC RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002138LIVE,"202326-202328 - 20230628 - 20230712 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - SOC & BEN Risotto RTH AUG TPR - 2138, SOC & BEN Risotto RTH AUG TPR",130 - Finished - Evaluated,2 for $5,KrogerRalphs,41135845,2023-07-05,2023-08-15
YES,2023-07-22,2023-07-08,SOC RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002138LIVE,"202326-202328 - 20230628 - 20230712 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - SOC & BEN Risotto RTH AUG TPR - 2138, SOC & BEN Risotto RTH AUG TPR",130 - Finished - Evaluated,2 for $5,KrogerSmiths,41135845,2023-07-05,2023-08-15
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,ALB - SFWY SOUTHERN (PG),Temp Price Reduction,2410200000002560LIVE,"202329-202330 - 20230719 - 20230726 - ALB - SFWY SOUTHERN (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2560, 2 Week Ad - Socal Division",130 - Finished - Evaluated,2 for $5,ALBSouthern,41136074,2023-07-19,2023-07-25
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,ALB - SFWY SOUTHERN (PG),Temp Price Reduction,2410200000002563LIVE,"202330-202331 - 20230726 - 20230801 - ALB - SFWY SOUTHERN (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - Requires Re-Approval - 2563, Weekly Insert - Portland",130 - Finished - Evaluated,2 for $5,ALBSouthern,41136074,2023-07-26,2023-08-01
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,PUBLIX (PG),Temp Price Reduction,2410200000002204LIVE,"202330-202331 - 20230724 - 20230731 - PUBLIX (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2204, 2023 8-10 to 8-16 Publix RR/FG AD",130 - Finished - Evaluated,2 for $5,Publix,41135850,2023-08-10,2023-08-16
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,AHOLD (PG),Temp Price Reduction,2410200000002105LIVE,"202335-202343 - 20230828 - 20231028 - AHOLD (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2105, GF Ben's RTH 2/$5 BA 2H",130 - Finished - Evaluated,2 for $5,GiantFood,41137437,2023-08-14,2023-10-14
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,ALB - SFWY SOUTHERN (PG),Temp Price Reduction,2410200000002591LIVE,"202342-202344 - 20231008 - 20231031 - ALB - SFWY SOUTHERN (PG) - Temp Price Reduction - Opportunity Fund - 2 for $5 - 2591, Ben's RTH/LGW Incremental Promotion - All Divisions",130 - Finished - Evaluated,2 for $5,ALBSouthern,41136074,2023-08-30,2023-10-31
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002371LIVE,"202338-202339 - 20230910 - 20230924 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - BEN RTH Gaming 5x Digital $.50 off 1 - 2371, BEN RTH Gaming 5x Digital $.50 off 1",130 - Finished - Evaluated,2 for $5,Kroger,41135845,2023-09-20,2023-10-03
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002371LIVE,"202338-202339 - 20230910 - 20230924 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - BEN RTH Gaming 5x Digital $.50 off 1 - 2371, BEN RTH Gaming 5x Digital $.50 off 1",130 - Finished - Evaluated,2 for $5,KrogerFoodLess,41135845,2023-09-20,2023-10-03
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002371LIVE,"202338-202339 - 20230910 - 20230924 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - BEN RTH Gaming 5x Digital $.50 off 1 - 2371, BEN RTH Gaming 5x Digital $.50 off 1",130 - Finished - Evaluated,2 for $5,KrogerFredMeyer,41135845,2023-09-20,2023-10-03
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002371LIVE,"202338-202339 - 20230910 - 20230924 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - BEN RTH Gaming 5x Digital $.50 off 1 - 2371, BEN RTH Gaming 5x Digital $.50 off 1",130 - Finished - Evaluated,2 for $5,KrogerFrys,41135845,2023-09-20,2023-10-03
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002371LIVE,"202338-202339 - 20230910 - 20230924 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - BEN RTH Gaming 5x Digital $.50 off 1 - 2371, BEN RTH Gaming 5x Digital $.50 off 1",130 - Finished - Evaluated,2 for $5,KrogerKingSoopers,41135845,2023-09-20,2023-10-03
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002371LIVE,"202338-202339 - 20230910 - 20230924 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - BEN RTH Gaming 5x Digital $.50 off 1 - 2371, BEN RTH Gaming 5x Digital $.50 off 1",130 - Finished - Evaluated,2 for $5,KrogerRalphs,41135845,2023-09-20,2023-10-03
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000002371LIVE,"202338-202339 - 20230910 - 20230924 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - BEN RTH Gaming 5x Digital $.50 off 1 - 2371, BEN RTH Gaming 5x Digital $.50 off 1",130 - Finished - Evaluated,2 for $5,KrogerSmiths,41135845,2023-09-20,2023-10-03
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,ALB - SFWY SOUTHERN (PG),Temp Price Reduction,2410200000002349LIVE,"202344-202345 - 20231022 - 20231111 - ALB - SFWY SOUTHERN (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - Requires Re-Approval - 2349, Ben's RTH/LGW November TPR",130 - Finished - Evaluated,2 for $5,ALBSouthern,41136074,2023-10-08,2023-11-16
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,AHOLD (PG),Temp Price Reduction,2410200000002056LIVE,"202339-202348 - 20230925 - 20231201 - AHOLD (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - ecomm banner, value bin, SS Ben's RTH 3/$7 2h Bargain Aisle - 2056, SS Ben's RTH 2/$5 Bargain Aisle 2H",130 - Finished - Evaluated,2 for $5,StopShop,41137437,2023-10-09,2023-11-17
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,PUBLIX (PG),Temp Price Reduction,2410200000002220LIVE,"202339-202340 - 20230925 - 20231002 - PUBLIX (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2220, 2023 10-12 to 10-18 Publix RR/FG AD",130 - Finished - Evaluated,2 for $5,Publix,41135850,2023-10-12,2023-10-18
YES,2025-02-15,2025-01-11,BEN DRY FLVR 6-6.2Z,KROGER (PG),Temp Price Reduction,2410200000003117LIVE,"202344-202352 - 20231101 - 20231226 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - BEN'S LG&W KP11w1-P12w4 2/$5 TPR - 3117, BEN'S LG&W KP11w1-P12w4 2/$5 TPR",130 - Finished - Evaluated,2 for $5,Kroger,41135845,2023-10-25,2024-01-02
YES,2025-02-15,2025-01-11,BEN DRY FLVR 6-6.2Z,KROGER (PG),Temp Price Reduction,2410200000003117LIVE,"202344-202352 - 20231101 - 20231226 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - BEN'S LG&W KP11w1-P12w4 2/$5 TPR - 3117, BEN'S LG&W KP11w1-P12w4 2/$5 TPR",130 - Finished - Evaluated,2 for $5,KrogerFredMeyer,41135845,2023-10-25,2024-01-02
YES,2025-02-15,2025-01-11,BEN DRY FLVR 6-6.2Z,KROGER (PG),Temp Price Reduction,2410200000003117LIVE,"202344-202352 - 20231101 - 20231226 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - BEN'S LG&W KP11w1-P12w4 2/$5 TPR - 3117, BEN'S LG&W KP11w1-P12w4 2/$5 TPR",130 - Finished - Evaluated,2 for $5,KrogerFrys,41135845,2023-10-25,2024-01-02
YES,2025-02-15,2025-01-11,BEN DRY FLVR 6-6.2Z,KROGER (PG),Temp Price Reduction,2410200000003117LIVE,"202344-202352 - 20231101 - 20231226 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - BEN'S LG&W KP11w1-P12w4 2/$5 TPR - 3117, BEN'S LG&W KP11w1-P12w4 2/$5 TPR",130 - Finished - Evaluated,2 for $5,KrogerKingSoopers,41135845,2023-10-25,2024-01-02
YES,2025-02-15,2025-01-11,BEN DRY FLVR 6-6.2Z,KROGER (PG),Temp Price Reduction,2410200000003117LIVE,"202344-202352 - 20231101 - 20231226 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - BEN'S LG&W KP11w1-P12w4 2/$5 TPR - 3117, BEN'S LG&W KP11w1-P12w4 2/$5 TPR",130 - Finished - Evaluated,2 for $5,KrogerRalphs,41135845,2023-10-25,2024-01-02
YES,2025-02-15,2025-01-11,BEN DRY FLVR 6-6.2Z,KROGER (PG),Temp Price Reduction,2410200000003117LIVE,"202344-202352 - 20231101 - 20231226 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - BEN'S LG&W KP11w1-P12w4 2/$5 TPR - 3117, BEN'S LG&W KP11w1-P12w4 2/$5 TPR",130 - Finished - Evaluated,2 for $5,KrogerSmiths,41135845,2023-10-25,2024-01-02
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,ALB - SFWY SOUTHERN (PG),Temp Price Reduction,2410200000002350LIVE,"202349-202350 - 20231126 - 20231216 - ALB - SFWY SOUTHERN (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - Requires Re-Approval - 2350, Ben's RTH/LGW December TPR",130 - Finished - Evaluated,2 for $5,ALBSouthern,41136074,2023-11-05,2023-12-12
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,PUBLIX (PG),Temp Price Reduction,2410200000002221LIVE,"202343-202344 - 20231023 - 20231030 - PUBLIX (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2221, 2023 11-9 to 11-15 Publix RR/FG 2/$5 TPR",130 - Finished - Evaluated,2 for $5,Publix,41135850,2023-11-09,2023-11-15
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,ALB - SFWY SOUTHERN (PG),Temp Price Reduction,2410200000002590LIVE,"202349-202352 - 20231126 - 20231227 - ALB - SFWY SOUTHERN (PG) - Temp Price Reduction - Opportunity Fund - 2 for $5 - Requires Re-Approval - 2590, Portland Meat Bunker Program",130 - Finished - Evaluated,2 for $5,ALBSouthern,41136074,2023-11-29,2023-12-26
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,ALB - SFWY NORTHERN CAL (PG),Temp Price Reduction,2410200000002686LIVE,"202405-202409 - 20240131 - 20240227 - ALB - SFWY NORTHERN CAL (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - Requires Re-Approval - 2686, Ben's RTH/LGW February Features",130 - Finished - Evaluated,2 for $5,ALBNorCal,41136079,2023-12-13,2024-02-27
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,PUBLIX (PG),Temp Price Reduction,2410200000003032LIVE,"202351-202352 - 20231219 - 20231230 - PUBLIX (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - Requires Re-Approval - 3032, 2024 1-2 to 1-7 Publix RR/FG AD",130 - Finished - Evaluated,2 for $5,Publix,41135850,2024-01-02,2024-01-10
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,DELHAIZE (PG),Temp Price Reduction,2410200000002627LIVE,"202402-202405 - 20240108 - 20240202 - DELHAIZE (PG) - Temp Price Reduction - Shopper In trade - 2 for $5 - 2627, 2024 Food Lion Gold Event- Q1 display",130 - Finished - Evaluated,2 for $5,FoodLion,41135851,2024-01-08,2024-01-28
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,AHOLD (PG),Temp Price Reduction,2410200000002839LIVE,"202402-202409 - 20240108 - 20240302 - AHOLD (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2839, S&S Bens RTH Jan/Feb Bargain aisle & Barge Displays",130 - Finished - Evaluated,2 for $5,GiantFood,41137437,2024-01-08,2024-03-02
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,AHOLD (PG),Temp Price Reduction,2410200000002839LIVE,"202402-202409 - 20240108 - 20240302 - AHOLD (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2839, S&S Bens RTH Jan/Feb Bargain aisle & Barge Displays",130 - Finished - Evaluated,2 for $5,GiantMartins,41137437,2024-01-08,2024-03-02
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,AHOLD (PG),Temp Price Reduction,2410200000002839LIVE,"202402-202409 - 20240108 - 20240302 - AHOLD (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2839, S&S Bens RTH Jan/Feb Bargain aisle & Barge Displays",130 - Finished - Evaluated,2 for $5,StopShop,41137437,2024-01-08,2024-03-02
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,AHOLD (PG),Temp Price Reduction,2410200000002880LIVE,"202402-202407 - 20240108 - 20240217 - AHOLD (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2880, Giant Foods 1H Bargain Aisle Promo.  Bens RTH 2/$5",130 - Finished - Evaluated,2 for $5,GiantFood,41137437,2024-01-08,2024-02-17
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,AHOLD (PG),Temp Price Reduction,2410200000002880LIVE,"202402-202407 - 20240108 - 20240217 - AHOLD (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2880, Giant Foods 1H Bargain Aisle Promo.  Bens RTH 2/$5",130 - Finished - Evaluated,2 for $5,GiantMartins,41137437,2024-01-08,2024-02-17
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,AHOLD (PG),Temp Price Reduction,2410200000002880LIVE,"202402-202407 - 20240108 - 20240217 - AHOLD (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2880, Giant Foods 1H Bargain Aisle Promo.  Bens RTH 2/$5",130 - Finished - Evaluated,2 for $5,StopShop,41137437,2024-01-08,2024-02-17
YES,2024-03-16,2024-01-27,BEN RISOTTO RTH 8.5-8.8Z,MEIJER (PG),Temp Price Reduction,2410200000002998LIVE,"202411 - 20240303 - 20240316 - MEIJER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - Requires Re-Approval - 2998, March Premium Bundle UAD",130 - Finished - Evaluated,2 for $5,Meijer,41135846,2024-01-21,2024-03-16
YES,2025-03-01,2025-01-25,BEN TEN RTH 8.5-8.8Z,MEIJER (PG),Temp Price Reduction,2410200000002998LIVE,"202411 - 20240303 - 20240316 - MEIJER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - Requires Re-Approval - 2998, March Premium Bundle UAD",130 - Finished - Evaluated,2 for $5,Meijer,41135846,2024-01-21,2024-03-16
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,ALB - SFWY INTERMOUNTAIN (PG),Temp Price Reduction,2410200000002685LIVE,"202406-202409 - 20240207 - 20240227 - ALB - SFWY INTERMOUNTAIN (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2685, Ben's RTH/LGW February Big Book",130 - Finished - Evaluated,2 for $5,ALBIntermountain,41136077,2024-01-30,2024-02-26
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,ALB - SFWY PORTLAND (PG),Temp Price Reduction,2410200000002687LIVE,"202405-202407 - 20240131 - 20240213 - ALB - SFWY PORTLAND (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2687, Ben's RTH/LGW February Features",130 - Finished - Evaluated,2 for $5,ALBPortland,41136069,2024-01-31,2024-02-13
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,ALB - SFWY SOUTHWEST (PG),Temp Price Reduction,2410200000002689LIVE,"202406-202409 - 20240207 - 20240227 - ALB - SFWY SOUTHWEST (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2689, Ben's RTH/LGW February 2 Week Feature + Month Long Display",130 - Finished - Evaluated,2 for $5,ALBSouthWest,41136080,2024-01-31,2024-02-13
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,ALB - SFWY JEWEL (PG),Temp Price Reduction,2410200000002858LIVE,"202405-202407 - 20240131 - 20240213 - ALB - SFWY JEWEL (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2858, RR/LGW $0.25 scan",130 - Finished - Evaluated,2 for $5,ALBJewel,41136073,2024-01-31,2024-02-13
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003011LIVE,"202405-202413 - 20240131 - 20240221 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 24 BEN RTH 2-for-$5 TPR KP1w1-P2w4 - 3011, 24 BEN RTH 2-for-$5 TPR KP1w1-P2w4",130 - Finished - Evaluated,2 for $5,Kroger,41135845,2024-01-31,2024-03-05
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003011LIVE,"202405-202413 - 20240131 - 20240221 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 24 BEN RTH 2-for-$5 TPR KP1w1-P2w4 - 3011, 24 BEN RTH 2-for-$5 TPR KP1w1-P2w4",130 - Finished - Evaluated,2 for $5,KrogerFoodLess,41135845,2024-01-31,2024-03-05
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003011LIVE,"202405-202413 - 20240131 - 20240221 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 24 BEN RTH 2-for-$5 TPR KP1w1-P2w4 - 3011, 24 BEN RTH 2-for-$5 TPR KP1w1-P2w4",130 - Finished - Evaluated,2 for $5,KrogerFredMeyer,41135845,2024-01-31,2024-03-05
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003011LIVE,"202405-202413 - 20240131 - 20240221 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 24 BEN RTH 2-for-$5 TPR KP1w1-P2w4 - 3011, 24 BEN RTH 2-for-$5 TPR KP1w1-P2w4",130 - Finished - Evaluated,2 for $5,KrogerFrys,41135845,2024-01-31,2024-03-05
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003011LIVE,"202405-202413 - 20240131 - 20240221 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 24 BEN RTH 2-for-$5 TPR KP1w1-P2w4 - 3011, 24 BEN RTH 2-for-$5 TPR KP1w1-P2w4",130 - Finished - Evaluated,2 for $5,KrogerKingSoopers,41135845,2024-01-31,2024-03-05
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003011LIVE,"202405-202413 - 20240131 - 20240221 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 24 BEN RTH 2-for-$5 TPR KP1w1-P2w4 - 3011, 24 BEN RTH 2-for-$5 TPR KP1w1-P2w4",130 - Finished - Evaluated,2 for $5,KrogerRalphs,41135845,2024-01-31,2024-03-05
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003011LIVE,"202405-202413 - 20240131 - 20240221 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 24 BEN RTH 2-for-$5 TPR KP1w1-P2w4 - 3011, 24 BEN RTH 2-for-$5 TPR KP1w1-P2w4",130 - Finished - Evaluated,2 for $5,KrogerSmiths,41135845,2024-01-31,2024-03-05
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,PUBLIX (PG),Temp Price Reduction,2410200000002600LIVE,"202403-202404 - 20240117 - 20240124 - PUBLIX (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2600, 2024 2-1 to2-7 Publix RR/FG AD",130 - Finished - Evaluated,2 for $5,Publix,41135850,2024-02-01,2024-02-07
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,ALB - SFWY DENVER (PG),Temp Price Reduction,2410200000002684LIVE,"202406-202409 - 20240207 - 20240227 - ALB - SFWY DENVER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2684, Ben's RTH/LGW February Big Book",130 - Finished - Evaluated,2 for $5,ALBDenver,41136068,2024-02-05,2024-03-03
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,ALB - SFWY SOUTHERN CAL (PG),Temp Price Reduction,2410200000002645LIVE,"202406-202409 - 20240207 - 20240227 - ALB - SFWY SOUTHERN CAL (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - Requires Re-Approval - 2645, Ben's RTH/LGW February Big Book",130 - Finished - Evaluated,2 for $5,ALBSoCal,41136078,2024-02-07,2024-03-05
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,ALB - SFWY SEATTLE (PG),Temp Price Reduction,2410200000002688LIVE,"202406-202408 - 20240207 - 20240220 - ALB - SFWY SEATTLE (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2688, Ben's RTH/LGW February Features",130 - Finished - Evaluated,2 for $5,ALBSeattle,41136067,2024-02-07,2024-02-20
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,ALB - SFWY MID-ATLANTIC (PG),Temp Price Reduction,2410200000002852LIVE,"202405-202407 - 20240202 - 20240215 - ALB - SFWY MID-ATLANTIC (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 2852, RR/LGW 2/$5 $0.25 scan",130 - Finished - Evaluated,2 for $5,ALBMidAtlantic,41136072,2024-02-09,2024-02-22
YES,2025-02-08,2025-01-04,SOC RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003114LIVE,"202409-202413 - 20240228 - 20240326 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 24 SOC RTH KP2w1-4 2/$6 + 5x Digital KP2w2-3 - 3114, 24 SOC RTH KP2w1-4 2/$6 + 5x Digital KP2w2-3",130 - Finished - Evaluated,2 for $5,Kroger,41135845,2024-02-21,2024-04-02
YES,2025-02-08,2025-01-04,SOC RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003114LIVE,"202409-202413 - 20240228 - 20240326 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 24 SOC RTH KP2w1-4 2/$6 + 5x Digital KP2w2-3 - 3114, 24 SOC RTH KP2w1-4 2/$6 + 5x Digital KP2w2-3",130 - Finished - Evaluated,2 for $5,KrogerFredMeyer,41135845,2024-02-21,2024-04-02
YES,2025-02-08,2025-01-04,SOC RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003114LIVE,"202409-202413 - 20240228 - 20240326 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 24 SOC RTH KP2w1-4 2/$6 + 5x Digital KP2w2-3 - 3114, 24 SOC RTH KP2w1-4 2/$6 + 5x Digital KP2w2-3",130 - Finished - Evaluated,2 for $5,KrogerFrys,41135845,2024-02-21,2024-04-02
YES,2025-02-08,2025-01-04,SOC RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003114LIVE,"202409-202413 - 20240228 - 20240326 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 24 SOC RTH KP2w1-4 2/$6 + 5x Digital KP2w2-3 - 3114, 24 SOC RTH KP2w1-4 2/$6 + 5x Digital KP2w2-3",130 - Finished - Evaluated,2 for $5,KrogerKingSoopers,41135845,2024-02-21,2024-04-02
YES,2025-02-08,2025-01-04,SOC RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003114LIVE,"202409-202413 - 20240228 - 20240326 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 24 SOC RTH KP2w1-4 2/$6 + 5x Digital KP2w2-3 - 3114, 24 SOC RTH KP2w1-4 2/$6 + 5x Digital KP2w2-3",130 - Finished - Evaluated,2 for $5,KrogerRalphs,41135845,2024-02-21,2024-04-02
YES,2025-02-08,2025-01-04,SOC RTH 8.5-8.8Z,KROGER (PG),Temp Price Reduction,2410200000003114LIVE,"202409-202413 - 20240228 - 20240326 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 24 SOC RTH KP2w1-4 2/$6 + 5x Digital KP2w2-3 - 3114, 24 SOC RTH KP2w1-4 2/$6 + 5x Digital KP2w2-3",130 - Finished - Evaluated,2 for $5,KrogerSmiths,41135845,2024-02-21,2024-04-02
YES,2025-02-22,2025-01-18,BEN RTH 8.5-8.8Z,ALB - SFWY MID-ATLANTIC (PG),Temp Price Reduction,2410200000003234LIVE,"202411-202413 - 20240316 - 20240329 - ALB - SFWY MID-ATLANTIC (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - Requires Re-Approval - 3234, RR March Promo",130 - Finished - Evaluated,2 for $5,ALBMidAtlantic,41136072,2024-03-01,2024-04-04
YES,2024-04-06,2024-03-23,BEN RTH 8.5-8.8Z,ALB - SFWY JEWEL (PG),Temp Price Reduction,2410200000003235LIVE,"202411-202413 - 20240313 - 20240326 - ALB - SFWY JEWEL (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - Requires Re-Approval - 3235, RR/LGW 2/$5",130 - Finished - Evaluated,2 for $5,ALBJewel,41136073,2024-03-06,2024-04-02
YES,2025-02-15,2025-01-11,BEN DRY FLVR 6-6.2Z,KROGER (PG),Temp Price Reduction,2410200000003334LIVE,"202414-202418 - 20240403 - 20240430 - KROGER (PG) - Temp Price Reduction - Trade Promotion - 2 for $5 - 24 BEN'S LG&W KP2w4-P3w3 - Easter 2/$5 TPR - 3334, 24 BEN'S LG&W KP2w4-P3w3 - Easter 2/$5 TPR",130 - Finished - Evaluated,2 for $5,Kroger,41135845,2024-03-13,2024-04-09
